id,proverb,meaning,wrong1,wrong2,wrong3,category
1495,न हुरुक्क न जुरुक्क,न यता न उता ।,कुनै काममा उत्साह देखाउनु हुँदैन,सधैं निस्क्रिय भएर बस्नुपर्छ,अरूले के गर्छन् त्यसको मतलब नै राख्नुपर्दैन,Social Behavior and Relationships
1496,नदुखेको कपाल डोरी लगाएर दुखाउनु,न चाहिँदो बेहोर्नु ।,नदुखेको कपाललाई डोरीले बाँध्दा दुखाइ कम हुन्छ,कपाल नदुखे पनि डोरी लगाउँदा राम्रो देखिन्छ,कपाललाई डोरीले बाँध्नाले दुखाइ उत्पन्न हुँदैन,Fate and Caution
1497,न ठेको काट्नु न नेटो काट्नु,न डाँडो काटी जाने न दैलो छाड्ने ।,केही काम नगरीकनै परिणाम पाउने आशा गर्नु,न त जिम्मेवारी लिनु न त अरूलाई सहयोग गर्नु,न त योजना बनाउनु न त काम गर्नु,Fate and Caution
1498,नबोलाईकन त कुकुर पनि न जावस्,आफ्नो मन इज्जत खोज्ने मान्छे ।,कुकुरले बोल्न सक्दैन,बोल्ने जनावर मात्र जान सक्छ,कुकुरले बोल्न नजानेपछि कतै जानु हुँदैन,Social Behavior and Relationships
1499,नमरी स्वर्ग देखिँदैन,आफैँले देख्नु र पुग्नु बेस ।,स्वर्ग जान मर्नै पर्छ,स्वर्गमा जान मर्नु अनिवार्य छ,मरेपछि मात्रै स्वर्गको यात्रा हुन्छ,Fate and Caution
1500,नल गोडे फल लाग्छ कि ?,थोरै भए पनि आशा गर्नु ।,नल गोड्ने बित्तिकै फल लाग्छ,मेहनत नगरे पनि फल पाइन्छ,सजिलो कामले ठूलो सफलता मिल्छ,Hard Work and Perseverance
1501,नहुने छोराको गनाउने मुख,बेकम्मा हुने लक्षण ।,नहुने छोरोले सधैं मुख बिगार्छ,नहुने छोराको मुख सधैं फोहोर हुन्छ,नहुने छोराले अरूलाई सधैं गाली गर्छ,Fate and Caution
1502,नयाँ जोगीको बाक्लो खरानी,विश्वास पार्न खोज्नु ।,नयाँ जोगीले धेरै ज्ञान बटुलेको छ,नयाँ जोगीले सधैं सही गर्छ,नयाँ जोगीले सबैलाई प्रभावित पार्छ,Social Behavior and Relationships
1503,नर्कटेको भागमा झुसिलकिरा,जसले खाँदा निन्दा गर्छ त्यस्तै हुन्छ,नर्कटे सबै झुसिलकिरा हुन्,नर्कटको भागमा मात्र झुसिलकिरा बस्छन्,नर्कटको भागमा झुसिलकिरा बस्न राम्रो हुन्छ,Fate and Caution
1504,नलेखी देखेर मात्र हुँदैन,भाग्यमा लेखेपछि मात्र पाउने कुरा ।,"लेख्नै पर्दैन, सबै कुरा कण्ठस्थ हुनुपर्छ",आँखाले देख्यो भने सबै कुरा बुझिन्छ,हेर्‍यो भने लेख्न जरुरी छैन,Wisdom and Knowledge
1505,नगर्नु व्यर्थ जनहरूले रूप र धनको अभिमान,सधैँ घमन्डी भएर नबस्नु ।,धन र रूपको अभिमान गर्नैपर्छ,जनहरूले रूप र धनको प्रशंसा नगरी बस्न सक्दैनन्,अभिमान नगर्नु भनेको कमजोरी हो,Social Behavior and Relationships
1506,न रहे बाँस न बजे बाँसुरी,मौका नै नदिएपछि झन्झटै मेटिन्छ ।,बाँस नभए बाँसुरी बजाउन सकिन्छ,बाँसुरी बजाउन बाँसको आवश्यकता छैन,बाँस नहुदा पनि संगीत उत्पन्न हुन्छ,Fate and Caution
1507,"नबिराउनु, नडराउनु",आत्मबल बढाइ हिँड्नु ।,नकुनै गल्ती नगर्नु र डराउनु नपर्ने,डराउनु नपर्ने भए पनि सधैं गल्ती गर्नु,नबिराउनु भनेको कहिल्यै डराउनु नपर्ने,Fate and Caution
1508,"नाइकेले पाइकेलाई अह्रायो, पाइकेले कुकुरलाई अह्रायो, कुकुरले पुच्छर हल्लायो",अह्राएको काम त्यसै फास्स फुस्स पार्नु ।,नाइकेले कुकुरलाई सिधै काम लगायो,पाइकेले पुच्छर हल्लाउन अह्रायो,कुकुरले सबैलाई आदेश दियो,Social Behavior and Relationships
1509,"नानीले काखमा गरेको दिसा धुन सकिन्छ, काखै काटेर फाल्न सकिन्न",सम्भव हुने मात्र काम गर्न मिल्छ ।,नानीले काखमा गरेको दिसा कहिल्यै धुन सकिँदैन,काख काटेर फाल्न सकिन्छ तर दिसा धुन सकिन्न,नानीले काखमा गरेको दिसा धुनु भनेको काख काट्नु हो,Social Behavior and Relationships
1510,"नगर्नु गरिहालिस्, बरु अब भित्रैसम्म ठेल",नगर्ने काम थालेपछि पार लगाएरै छोड्नुपर्छ ।,काम नगरे पनि हुने कुरा गरिहालिस्,काम गर्न मन नभए पनि अरूलाई कर गर्नुपर्छ,अरूले काम गरिसकेको छ भने अब झन् बढी दबाब दिनुपर्छ,Hard Work and Perseverance
1511,"नङ काटे मासु दुख्छ, मासु काटे नङ",आफ्नोलाई दुःख पर्दा ।,नङ काट्दा मासु झन् बलियो हुन्छ,मासु काट्दा नङ हराउँछ,नङ र मासु एकअर्कासँग सम्बन्धित छैनन्,Social Behavior and Relationships
1512,नचायो नचायो थच्यायो,अरूलाई भुलाउने काम ।,नाच्न नजान्नेले नाच्न नचाहेर थच्यायो,नाच्न नचाहेर अरूलाई थच्याउन लगायो,नाच्न जान्नेले पनि नचाहेर थच्यायो,Social Behavior and Relationships
1513,नचाहिँदो चाँजो कर्कती खाँदो,त्यसै दुःख पाउनु ।,नचाहिँदो चाँजोले कर्कटी खान्छ,चाँजो नपाए कर्कटी खान सकिँदैन,कर्कटी खान चाँजो चाहिन्छ,Fate and Caution
1514,नचिनेको चोर बाबु समान,त्यसै दोष नलाउनु ।,नचिनेको चोर बाबु समान हुन्छ,चोरलाई चिन्नु पर्दैन,सबै चोरहरू बाबुजस्तै हुन्छन्,Social Behavior and Relationships
1515,न जात मिल्ने न भात मिल्ने खाली उसको बाबुको लात मिल्ने,कुटाइ खानु ।,"न त जात मिल्यो न त भात, केवल लात मात्र मिल्यो","न त खाना मिल्यो न त सम्मान, केवल गाली मात्र मिल्यो","न त साथी मिल्यो न त सहयोग, केवल समस्याहरू मात्र मिल्यो",Social Behavior and Relationships
1516,नजिकको तीर्थ हेला,सधैँ पाइने कुराको महत्त्व नबुझ्नु ।,नजिकको तीर्थमा जानु राम्रो हुन्छ,नजिकको तीर्थमा धेरै मानिस जान्छन्,नजिकको तीर्थ मात्र महत्वपूर्ण हुन्छ,Social Behavior and Relationships
1517,नटोक्ने कुकुर धेरै भुक्छ,नगर्ने मान्छे तेस्तै हुन्छ ।,नटोक्ने कुकुर कहिल्यै भुक्दैन,कुकुर भुक्न थालेपछि टोक्न सक्दैन,धेरै भुक्ने कुकुरले सबैलाई टोक्छ,Social Behavior and Relationships
1518,नदाएको बहर र नब्याएकी गाई,धेरै फुरफुर गर्नु ।,नदिएको बहरले राम्रो दूध दिन्छ,नब्याएकी गाईले धेरै सन्तान जन्माउँछे,बहर र गाई सधैं मिलेर बस्छन्,Fate and Caution
1519,नदिने बराजु बुधबार बार्छिन्,काम नगर्ने निहुँ ।,नदिने बराजु बुधबार मात्रै काम गर्छिन्,बराजु हप्तामा एक दिनमात्र नुहाउँछिन्,बराजु बुधबारमा मात्र भेटिन्छिन्,Social Behavior and Relationships
1520,नदुखेको टाउको डोरी लगाएर दुखाएको,भन्झट बोक्ने ।,नदुखेको टाउकोमा डोरी लगाउँदा आराम हुन्छ,टाउको दुखेको छैन भने डोरीले दुखाउनुपर्छ,डोरी लगाउँदा टाउको दुख्न बन्द हुन्छ,Fate and Caution
1521,नपाएको अङ्गुर अमिलै हुन्छ,अप्राप्य वस्तुलाई दोष लाएर चित्त बुझाउनु ।,अङ्गुर अमिलो भएकाले खानु हुदैन,"जसले अङ्गुर पाउँदैन, उसलाई अमिलो लाग्छ",अङ्गुर नपाउनु भनेको अमिलो फलको खोजी गर्नु हो,Fate and Caution
1522,नबर्सने मेघ बढी गर्जन्छ,काम नगर्नेले ठूलो फुर्ती लाउनु ।,नबर्सने मेघले पानी धेरै पार्छ,नबर्सने मेघले कहिल्यै गर्जदैन,नबर्सने मेघले सधैं शान्त रहन्छ,Social Behavior and Relationships
1523,न बच्चाको मुखमा न माउको थुनमा,खेर जानु ।,न बच्चालाई मिठो कुरा दिनु हुँदैन,माउलाई कहिल्यै दूध दिनु हुँदैन,बच्चा र माउ दुवैलाई केही चाहिँदैन,Fate and Caution
1524,न मरी जानु न गरी खानु,मुस्किल पर्नु ।,केही नगरी धन कमाउनु,खानाका लागि मर्नु,न काम गर्नु न बाँच्नु,Hard Work and Perseverance
1525,नमरी बाँचे कालले साँचे भेट होला नै,दुःखी कुरा ।,"काल आउँदैन, सधैं बाँचिन्छ",मरेपछि मात्र भेट हुन्छ,"बाँचे पनि, मरे पनि केही फरक पर्दैन",Fate and Caution
1526,नरहे बाँस नबजे बाँसुरी,टन्टै खलास ।,बाँस बिना बाँसुरी बनाइँदैन,बाँसुरी बजाउन बाँस चाहिन्छ,बाँसुरीले बाँसलाई नष्ट गर्छ,Fate and Caution
1527,नरोईकन आमाले पनि दूध खुवाउँदिन,केही चाहिन्छ भने माग्नै पर्छ।,आमा केवल बच्चा रोएपछि मात्र माया गर्छिन्,आमाले बच्चालाई दुख दिएर मात्र दूध खुवाउँछिन्,बच्चा नरोए आमाले कहिल्यै दूध खुवाउँदिन,Hard Work and Perseverance
1528,न हाँसको ताल न कुखुरको ताल,यता न उता ।,कुनै पनि काम गर्न सक्ने क्षमता छैन,नाच्न जान्दैन तर नाच्ने प्रयास गर्छ,हाँस र कुखुराको जस्तो आवाज निकाल्न खोज्छ तर असफल हुन्छ,Social Behavior and Relationships
1529,नहुनेको छोरी हुनेमा परी नुनको फाँको हाली भुतुक्कै मरी,एकैपटक ठूलो भाग पाउँदा सर्किनु ।,नहुनेको छोरी हुँदा उसले नुन खाएर मर्छ,छोरी हुँदा नुन खानु अनिवार्य हुन्छ,नुन खाँदा छोरी मर्न सक्छ,Fate and Caution
1530,नाउँ चलेको खानाले गलेको,नाउँ मात्रै ठूलो भएको गुदी नभएको ।,नाउँ चलेकोले खानाले गलेको हो,नाउँ चलेपछि खानु पर्दैन,नाउँ चलेपछि खानाले थाकिन्छ,Social Behavior and Relationships
1531,नमिठो जाँडको धेरै निगार,बिकामेको धेरै फुर्ती ।,नमिठो जाँड धेरै पिउनु राम्रो हुन्छ,जाँड पिउँदा स्वादको मतलब हुँदैन,"जति धेरै पिउँ, जाँड मीठो बन्छ",Social Behavior and Relationships
1532,"नयाँ हुँदामा नौपुला चाल, पछि-पछि जगल्टाको काल",पुरानो भएपछि महत्त्वहीन हुनु ।,नयाँ हुँदा मानिसले धेरै गल्ती गर्छ,बूढो भएपछि मानिसले केही गर्न सक्दैन,नयाँ कुराहरू सधैं खराब हुन्छन्,Fate and Caution
1533,नाक खुम्चाउनु,नपत्याउनु ।,नाक लामो बनाउनु,नाक सिधा पार्नु,नाक ठूलो बनाउनु,Social Behavior and Relationships
1534,नाटीकुटी गर्नेको भागमा किरा,घिन मान्नेलाई त्यस्तै हुन्छ ।,नाटीकुटी गर्नेको भागमा सधैं किरा लाग्छ,नाटीकुटी गर्ने व्यक्तिलाई सधैं समस्या हुन्छ,नाटीकुटी गर्दा जीवनमा कहिल्यै सफल हुन सकिँदैन,Fate and Caution
1535,नाताले नाता पहिल्याउँछ,आफ्नो मान्छे खोज्नु ।,नाताले मात्र सबै समस्याको समाधान गर्छ,नाताले सधैं राम्रो सम्बन्ध बनाउँछ,नाताले कहिल्यै धोका दिँदैन,Social Behavior and Relationships
1536,नानी भनेको छोरो र जुत्ता लाएको गोडा,पुल्पुलाएर राख्नुले काम छैन ।,"नानी भनेको छोरो मात्र होइन, जुत्ता पनि हो",नानी भनेको जुत्ता लगाउने मान्छे हो,नानी भनेको जुत्ता लगाउन मन पराउने गोडा हो,Social Behavior and Relationships
1537,नामर्दकी स्वास्नी हुनुभन्दा मर्दाको कमारो हुन बेस,लाउनुखान पाइन्छ ।,नामर्दकी स्वास्नी हुनु राम्रो हुन्छ,मर्दाले कमारो हुनु हुँदैन,स्वास्नी र कमारो बराबर हुन्छन्,Social Behavior and Relationships
1538,नारायणले नदेखेको कहाँ छ,उनै प्रभुको लीला ।,नारायणले सबै कुरा देख्छ,नारायण अन्धो छ,नारायणले केही पनि देख्न सक्दैन,Fate and Caution
1539,नालीलाई चलायो मुखभरी छिटा,छोटो मान्छेलाई चलाउनु हुँदैन ।,नाली चलाउँदा मुखमा पानी पर्छ,नाली सफा गर्दा मुखमा हिलो लाग्छ,नालीबाट सिधै पानी मुखमा आउँछ,Social Behavior and Relationships
1540,नाउँ भने डिट्ठा खान लाग्यो गिट्ठा,फुर्ती मात्र ठूलो गर्नु ।,डिट्ठाले गिट्ठा खान थालेछ,अब डिट्ठाले गिट्ठा खान्छ रे,डिट्ठाले गिट्ठा खानु भनेको नयाँ परिकार खानु हो,Fate and Caution
1541,"नाक छाडी कान, कान छाडी नाक",यो नभए ऊ र ऊ नभए यो हुनु ।,नाक र कान दुबै बेकार हुन्छन्,नाक र कान दुबै एउटै कामका लागि हुन्छन्,नाक र कान साट्न सकिन्छ,Fate and Caution
1542,नामर्दको मुखमा बोकाले पनि मुत्छ,नामर्द भयो भने सबैले हेप्छन् ।,नामर्दले बोकालाई पानी पिलाउँछ,नामर्दले बोकालाई बोलाउँछ,नामर्दले बोकालाई पुज्छ,Social Behavior and Relationships
1543,नाउँ न जस खरानी घस्,केही फाइदा नहुने व्यर्थको काम ।,नाउँ नभए पनि जस पाउन सकिन्छ,जस पाउनलाई काम गर्नै पर्दैन,जस पाउनलाई मेहनत गर्नु आवश्यक छैन,Social Behavior and Relationships
1544,"नाफा खाने चुत्थो, सावाँ पनि फुत्क्यो","बढी लोभ, लालच गर्दा नोक्सान हुन्छ ।",नाफा नखानेले नै सबै जित्छ,नाफा खाएपछि ऋण फिर्ता गर्न पर्दैन,नाफा खानेले ऋण तिर्नु पर्दैन,Fate and Caution
1545,नाङ्गो नाचे मैदान,इज्जत छाड्नेले जेमा पनि छाड्छ ।,नाङ्गो भएर नाच्नुपर्छ,मैदानमा नाच्न मन पर्छ,कपडा लगाएर नाच्न मिल्दैन,Social Behavior and Relationships
1546,"नाचेकै राँड मात्र नाच्छे, ननाच्ने राँड नाच्दिन",जसको ढङ्ग रंग छ उसैले काम गर्छ ।,नाच्न नआउनेले कहिल्यै नाच्न सक्दैन,"जो नाच्दैन, उसले नाच्न चाहँदैन",नाच्न नचाहने मानिसलाई नाच्न बाध्य पार्न सकिँदैन,Social Behavior and Relationships
1547,"नानीको बाबुको सति पनि गइनँ, विष पनि खाइनँ",उहिले मर्न डराएर एउटी महिलाले भनेकी ।,नानीको बाबु मरेनन्,सति जानु अनिवार्य छ,विष खाएर मात्र सति जान सकिन्छ,Fate and Caution
1548,नाच्ने मान्छेको खुट्टी हेर्दै थाहा हुन्छ,अड्कल काटी खिसी गरेको ।,नाच्ने मान्छेको खुट्टा सधैं दुख्छ,नाच्न जान्ने मान्छेको खुट्टा ठूलो हुन्छ,खुट्टा राम्रो भए मात्र नाच्न सकिन्छ,Social Behavior and Relationships
1549,नाम भने चलेको खानाले गलेको,"दर्जा ठूलो, आम्दानी थोरै ।",चलेको खानाले मानिसलाई दौडिन सक्षम बनाउँछ,राम्रो खानाले मानिसलाई कमजोर बनाउँछ,खानाले मानिसको शरीरलाई कमजोर बनाउँछ,Social Behavior and Relationships
1550,नानी पाउनु कहिले कहिले कन्दनी बाट्ने अहिले,कामभन्दा फल लिन हतार ।,नानी पाउन कन्दनी बाट्नुपर्छ,नानी पाउनु भनेको कन्दनी बाट्न जत्तिकै सजिलो हो,कन्दनी बाटेपछि नानी पाइन्छ,Fate and Caution
1551,नामर्दलाई फोक्साको भारी,ह्याउ नहुने मान्छे ।,नामर्दलाई फोक्साको भारी भनेको नामर्दले फोक्सो बोक्नुपर्छ,नामर्दलाई फोक्सोको भारी दिनुपर्छ भन्ने हो,नामर्दलाई फोक्सो खान दिनुपर्छ,Hard Work and Perseverance
1552,निमुखालाई न्याय गरिबलाई आय,यस्ता कुराको महत्त्व हुन्छ ।,निमुखालाई न्याय भनेको उनीहरूलाई सजाय दिनु हो,गरिबलाई आय भनेको उनीहरूको सम्पत्ति खोस्नु हो,न्याय र आय भनेको निमुखा र गरिबलाई झन् कमजोर बनाउनु हो,Social Behavior and Relationships
1553,नुन खाएर गुण लगाउनु,जसको नुन खायो उसैको भलो गर्नुपर्छ ।,नुन खाएर नकारात्मक कुरा गर्नु,नुन खाएर अरूलाई हानी पुर्‍याउनु,नुन खाएर झगडा गर्नु,Social Behavior and Relationships
1554,नुन खाएको कुखुराजस्तो हुनु,त्यसै मनमा चिन्ता बोकी टोलाउने ।,नुन खाएको कुखुराजस्तो हुनु भनेको कुखुरालाई नुन खान मनपर्छ,नुन खाएको कुखुरा बलियो हुन्छ,नुन खाएको कुखुराले उड्न सक्दैन,Social Behavior and Relationships
1555,नेतालाई झन्डा पुलिसलाई डन्डा,नसुहाउँदो मात्र दर्जा ।,"नेतालाई मात्र झन्डा चाहिन्छ, अरू केही होइन",पुलिसले डन्डा मात्र बोकेर हिँड्नुपर्छ,"नेताले झन्डा देखाएर मात्र काम गर्छन्, पुलिसले डन्डा देखाएर",Social Behavior and Relationships
1556,निकी भनेकी बुहारी ओछ्यान मुतुई,राम्रो ठानेको पनि खोटी हुनु,निकी भनेकी बुहारी सधैं ओछ्यानमा सुतिरहन्छिन्,निकी भनेकी बुहारीले सधैं गल्ती गर्छिन्,निकी भनेकी बुहारीलाई सुत्न मात्र मन पर्छ,Social Behavior and Relationships
1557,निमको पातको जरामा मह खन्याए पनि तितै हुन्छ,प्राकृतिक गुण फेरेर फेरिन्न ।,निमको पात गुलियो हुन्छ,मह हाल्दा निमको पात मिठो हुन्छ,निमको पातको स्वाद परिवर्तन हुन्छ,Social Behavior and Relationships
1558,नेप्टो नाकमा झम्के बुलाकी,असुहाउँदो कुरा ।,नेप्टो मानिसलाई उच्च सम्मान दिनु,नाकमा बुलाकी लगाउनु राम्रो स्वास्थ्यको संकेत हो,नेप्टो मानिसले झम्के बुलाकी लगाउँदा बुद्धिमान देखिन्छ,Social Behavior and Relationships
1559,"नौकोटी तारा अँधेरी रात, एउटा चन्द्रमा उजेली रात",शक्तिशाली भनेको शक्तिशाली नै हो ।,नौ वटा तारा भए पनि उज्यालो हुँदैन,चन्द्रमा नभए अँधेरी रातै रहन्छ,तारा भन्दा चन्द्रमा महत्त्वहीन छ,Nature and Environment
1560,"नौ दिन न हेरे नौलो, बीस दिन न हेरे बिर्सियो",पुरानो हुँदा बिर्सिदै जानु ।,नौ दिन न हेरे पछि सबै कुरा नयाँ हुन्छ,बीस दिन पछि सबै कुरा पुरानो हुन्छ,नौ दिन हेरेपछि बिर्सन सकिँदैन,Social Behavior and Relationships
1561,निभेको आगो कसैले ताप्दैन,संसारको पारा स्वार्थी ।,निभेको आगो फेरि बल्छ,निभेको आगोले ठूलो क्षति गर्छ,निभेको आगो सबैलाई मनपर्छ,Fate and Caution
1562,निर्धाको साहारा दैव,उनै भगवान्‌ले हेर्ने ।,निर्धाले दैवको सहारा लिनु हुँदैन,निर्धालाई दैवले कहिल्यै साथ दिँदैन,दैवले निर्धालाई सधैं दुःख दिन्छ,Fate and Caution
1563,नेटो काट्नु,डाँडा काटेर जानु ।,सियो काट्नु,धागो काट्नु,रेखा मेट्नु,Fate and Caution
1564,नेपालमा बसी भोट देख्ने,"जुन ठाँउमा पुगेकै छैन, त्यसै धाक लगाउने ।",नेपालमा बसेर भोटको परिणाम अनुमान लगाउने,नेपालमा बस्दा भोट देख्न पाईन्छ भन्ने सोच्ने,नेपालमा बस्दा भोट दिने ठाउँ देख्न सकिन्छ,Fate and Caution
1565,"नौला दुलहीको नौ पुला धाँस, रहँदा बस्दा जगल्टाको नाश",पहिले खुब स्वाङ पार्ने पछि हेला गर्ने ।,नयाँ दुलहीले सबै काम बिगार्छे,दुलहीले सधैं झगडा गरिरहन्छे,नयाँ दुलहीले घरको सम्पत्ति नष्ट गर्छे,Social Behavior and Relationships
1566,"न्याच्च नाक, प्याच्च बात",ओठे जवाफ दिने कुरूप मान्छे ।,नाक सिधा भएकाले सधैं सत्य बोल्छ,नाक ठूलो भएकाले हावा धेरै चल्छ,नाकको आकारले बोल्ने शैली निर्धारण गर्छ,Social Behavior and Relationships
1567,नियास्रो लाग्नु हर्ष डाक्नु,दुवै समान आइपर्ने ।,नियास्रो लाग्दा खुशी हुनु,हर्षको निम्ति दुखी हुनु,खुशी हुँदा दुख सम्झनु,Social Behavior and Relationships
1568,न्यायको नौ सिङ नौ पुच्छर,पैसाले जित हार हुने भएमा ।,न्याय भनेको जनावर जस्तै हुन्छ,न्याय पाउन धेरै पुच्छर चाहिन्छ,न्यायले सिङ र पुच्छर लगाउँछ,Fate and Caution
1569,"न्याय हराए गोर्खा जानु, धर्म हराए काशी जानु",राम शाहले राम्रो गरेकाले ।,गोर्खा र काशीमा न्याय र धर्म पाइँदैन,गोर्खा र काशीमा हराएको कुरा फेला पर्छ,गोर्खा र काशीमा गुमेको न्याय र धर्म खोज्न जानुपर्छ,Fate and Caution
1570,पछि आउने माझमा सुत्ने,झन् उसैलाई राम्रो ठाउँ ।,रातभर सुत्नु हुँदैन,सुत्नेलाई सजाय हुन्छ,सुत्नेले काम बिगार्छ,Hard Work and Perseverance
1571,पढेको मूर्खभन्दा नपढेको मूर्ख नै बेस,पढेको मूर्खसँग झन् डर हुन्छ ।,पढेको मान्छे मूर्ख हुन्छ,नपढेको मान्छे कहिल्यै मूर्ख हुँदैन,पढ्नाले मानिसलाई मूर्ख बनाउँछ,Wisdom and Knowledge
1572,पढेर भन्दा परेर जानिन्छ,अनुभवको महत्त्व हुन्छ ।,पढेर मात्रै सबै कुरा थाहा हुन्छ,परेर जान्न आवश्यक छैन,अनुभवको कुनै महत्व छैन,Wisdom and Knowledge
1573,पढ्यो लेख्यो कोनै काम हलो जोती खायो माम,मूर्खले भन्ने शब्द ।,"पढ्न लेख्न जान्नु बेकार छ, हलो जोतेर मात्रै बाँच्न सकिन्छ","पढाइ लेखाइले पेट भरिँदैन, माम खान हलो जोत्नुपर्छ",पढ्न लेख्न नजान्नेले मात्र हलो जोतेर माम खान सक्छ,Hard Work and Perseverance
1574,पराइको आश नित्य उपवास,पराइको आश गर्नु व्यर्थै हुन्छ ।,पराइको आशमा उपवास गर्नु राम्रो हुन्छ,पराइको भरोसा गर्दा उपवास गर्नुपर्छ,पराइको आश राख्दा सधैं भोकै रहनुपर्छ,Fate and Caution
1575,"परिबन्धले साधु चोर, चोर साधु बन्छ",परिबन्धले परिणाम उल्ट्याउँछ ।,साधुहरू चोरहरूलाई संरक्षण दिन्छन्,चोरहरूले साधुहरूलाई सजिलै ठग्छन्,चोरहरू साधुहरूको अनुकरण गर्छन्,Fate and Caution
1576,परिश्रमको फल मिठो हुन्छ,आनन्द आउने हुन्छ ।,परिश्रमले दुःख मात्र दिन्छ,मेहनत गर्दा सफलता मिल्दैन,परिश्रम गर्नु बेकार छ,Hard Work and Perseverance
1577,"पर्यो आइती, तय रापती, भयो सभापति",पहाडबाट भनेको कुरा ।,आइती र रापती मिलेर सभापति भए,आइती र रापतीको झगडाले सभापति परिवर्तन भयो,आइती र रापतीले सभापतिको पद खोसे,Fate and Caution
1578,पर्सेको बोको कतिबेर बाँच्ला,छोटो आयु हुनु ।,पर्सेको बोको लामो समय बाँच्न सक्छ,पर्सेको बोकोलाई कसैले मार्न सक्छ,पर्सेको बोकोले कहिल्यै बिरामी पर्दैन,Fate and Caution
1579,पक्का छोरालाई लक्का न धक्का,पक्का पकाम गर्नेलाई केहीले छेक्न सक्दैन​ ।,पक्का छोरालाई कहिल्यै असफलता हुँदैन,पक्का छोराले सधैं अरूलाई हराउँछ,पक्का छोराले कहिल्यै गल्ती गर्दैन,Fate and Caution
1580,"पल्लापट्टि जेठाजुका यट्नाभरी खसी, हाम्रा घरका स्वामीज्यूका हिउँद गए बसी",अल्छी गरेको परिणाम ।,"पल्लापट्टि जेठाजु धनी छन्, हाम्रा घरका स्वामीज्यू गरिब छन्","पल्लापट्टि जेठाजुका खसी धेरै छन्, हाम्रा घरमा खसी छैनन्","पल्लापट्टि जेठाजुका घरमा भोज छ, हाम्रा घरमा चिसो छ",Social Behavior and Relationships
1581,"पशुपतिको जात्रा, सिद्राको व्यापार",एउटै कुराबाट दुई काम बनाउनु ।,पशुपतिमा जात्रा हुँदा सिद्रा बेच्न पाइन्छ,सिद्रा बेच्न जाँदा पशुपतिमा जात्रा हुन्छ,पशुपतिमा सिद्रा बेचेर धेरै पैसा कमाइन्छ,Social Behavior and Relationships
1582,दो पन्था एक काज,एकैपटकमा दुई काम बनाउनु ।,दुई फरक दिशामा जानु र काम नगर्नु,दुई वटा काम गर्न खोज्दा कुनै पनि काम नबन्नु,दुई जनालाई एकै काम दिनु र दुवैलाई अलमल्याउनु,Wisdom and Knowledge
1583,पल्केको झिल्के घरी-घरी मिल्के,एकपटक काम बनेपछि घरीघरी धाउने ।,झिल्के मान्छेले धेरै पटक गल्ती गर्छ,पल्केको मान्छेले सधैं असफल हुन्छ,पल्केको झिल्केले कहिल्यै राम्रो काम गर्न सक्दैन,Fate and Caution
1584,परी कहाँ नकचरी कहाँ,दुवै समान नहुनु ।,परी र नकचरी एउटै हुन्छन्,परी सधैं नकचरी हुन्छे,नकचरी परीभन्दा राम्रो हुन्छ,Fate and Caution
1585,"परेवा काटी दसैँ, बर्को ओढी बसैं",पर्याप्त नहुने र नपुग्ने काम ।,परेवा काटेर दसैँ मनाउने चलन हुन्छ,बर्को ओढेर बस्दा दसैँ मनाउन सकिन्छ,परेवा काटेर बसैँ मनाउनुपर्छ,Fate and Caution
1586,"पखाला लागेको बूढो, ओरालो लागेको घाम",धेरै नटिक्ने कुरा।,बूढो स्वस्थ हुन्छ र दौडिन थाल्छ,घाम ओरालो लाग्दा झन् तातो हुन्छ,पखाला लागेपछि बूढो बलियो हुन्छ,Fate and Caution
1587,"पूर्व जाउँ भने उतैबाट आएको, पश्चिम जाउँ भने थाहै नभाको",जता जाँदा पनि काम नबन्ने ।,पूर्व जाउँ भने त्यहाँ कुनै बाटो छैन,पश्चिम जाउँ भने दिशा हराएको छ,हिँड्नै नहुने ठाउँमा पुगेको,Fate and Caution
1588,"पुसको फारु पो फारु, साउनको फारु त जहान मारुँ",बेलाबखतमा सञ्चित गरी राख्नुपर्छ ।,पुसको फारु राम्रो हुँदैन,साउनको फारुले जहानलाई दुख दिन्छ,हरेक फारु हानिकारक हुन्छ,Nature and Environment
1589,"पाहुना तर्साउनु, खेताला पल्काउनु",फाइदा हुने काम पहिला गर्नु ।,पाहुनालाई डराएर भगाउनु,खेतालालाई काम गर्न नदिनु,पाहुनालाई राम्रोसँग सत्कार गर्नु,Social Behavior and Relationships
1590,पाँच औँला पनि बराबरी हुँदैन,सबै मानिस सबै काममा बराबरी हुँदैनन ।,सबै मानिसको उचाइ समान हुन्छ,सबैको विचार एकै हुन्छ,सबैको क्षमता समान हुन्छ,Social Behavior and Relationships
1591,पाडो खानेले बाच्छो राख्दैन,एउटालाई बिगार्नेले अर्को बाँकी राख्दैन ।,पाडो खानेले बाच्छो धेरै माया गर्छ,पाडो खानेले बाच्छोलाई सधैं बचाउँछ,पाडो खानेले बाच्छोलाई कहिल्यै छोड्दैन,Fate and Caution
1592,पानीभन्दा पातलो कुरा,कुरा गर्दा ज्यादै होस पुऱ्याउनु पर्छ ।,पानीभन्दा हल्का वस्तु,पानीले भन्दा पातलो पदार्थ,पानीभन्दा कमजोर तत्व,Social Behavior and Relationships
